category,headline,short_description,date,headline_finbert_sentiment,headline_finbert_score,desc_finbert_sentiment,desc_finbert_score,headline_finbert_numerical,desc_finbert_numerical,avg_finbert_sentiment
POLITICS,the unemployment insurance system is not ready for the next recession,"States are cutting back, and Congress is unlikely to step in even after the pandemic exposed the unemployment system's shortcomings.",2022-09-07,negative,0.9054969549179077,negative,0.9231591820716858,-1,-1,-1.0
U.S. NEWS,"power outage at austin airport leads to flight delays, traffic jams","Airport officials in Austin, Texas, say an early morning power outage is causing flight delays even as electricity has been restored.",2022-09-07,negative,0.9568913578987122,negative,0.9576442241668701,-1,-1,-1.0
WORLD NEWS,"shelling goes on near ukraine nuclear plant, despite risks","The head of the International Atomic Energy Agency warned the U.N. Security Council  that “something very, very catastrophic could take place” at Zaporizhzhia.",2022-09-07,negative,0.8342268466949463,negative,0.909881591796875,-1,-1,-1.0
U.S. NEWS,fast-moving fairview fire kills at least 2 in california,A second fire killed two people in Northern California this weekend.,2022-09-06,negative,0.9196761250495911,negative,0.902313768863678,-1,-1,-1.0
U.S. NEWS,mississippi governor says water pressure is now 'solid' in jackson,"The city remains under a boil water notice, which first went into effect on July 30.",2022-09-06,positive,0.840290904045105,neutral,0.930601954460144,1,0,0.5
U.S. NEWS,"meta, parent company of instagram, fined $400 million by irish regulators",The social media giant was fined for violations of data privacy laws related to information about children on Instagram.,2022-09-06,negative,0.9514691829681396,negative,0.9373577833175659,-1,-1,-1.0
U.S. NEWS,school starts today for survivors of deadly mass shooting in uvalde,There is new high fencing around the Texas community's public schools that still isn't finished and a heavy police patrol that many families don't trust.,2022-09-06,neutral,0.7632280588150024,negative,0.5069568157196045,0,-1,-0.5
WORLD NEWS,"u.s.: russia to buy rockets, artillery shells from north korea",The finding comes after the Biden administration confirmed that the Russian military in August took delivery of Iranian-manufactured drones for use in Ukraine.,2022-09-06,positive,0.6576120257377625,neutral,0.4823586046695709,1,0,0.5
POLITICS,michigan secretary of state worried about ‘violence and disruption’ going into midterms,"Jocelyn Benson said misinformation ""fuels the potential for additional threats, harassment and even violence on Election Day.""",2022-09-05,negative,0.9091089367866516,negative,0.8113343119621277,-1,-1,-1.0
TECH,citing imminent danger cloudflare drops hate site kiwi farms,Cloudflare CEO Matthew Prince had previously resisted calls to block the site.,2022-09-05,negative,0.88370680809021,negative,0.7312976121902466,-1,-1,-1.0
U.S. NEWS,bear spotted chilling in california swimming pool,"""He's welcome in my yard as long as he doesn't kill me or my family,"" the homeowner quipped.",2022-09-05,neutral,0.9078556299209595,neutral,0.729764461517334,0,0,0.0
POLITICS,uvalde fourth graders waited an hour with wounded teacher,"When Elsa Avila looks at the scar that runs down her torso, she can't help remember May 24, when a gunman stormed her fourth grade wing at Robb Elementary in Uvalde, Texas, killing 19 children and two teachers and leaving her and others wounded.",2022-09-05,negative,0.5077909231185913,negative,0.6700628399848938,-1,-1,-1.0
POLITICS,trump-endorsed wisconsin gubernatorial candidate tells voters to take up pitchforks,Tim Michels calls on supporters to go after media following Milwaukee Journal Sentinel story reporting multimillionaire's donations to anti-abortion groups.,2022-09-04,neutral,0.80306077003479,negative,0.8064187169075012,0,-1,-0.5
CRIME,memphis police: arrest made in jogger's disappearance,Police in Tennessee say an arrest has been made in the disappearance of a woman who was abducted while jogging.,2022-09-04,neutral,0.5123564004898071,negative,0.9246842861175537,0,-1,-0.5
U.S. NEWS,fema director says it's ‘too early’ to tell when jackson will have clean water again,Residents of Mississippi's majority-Black capital still don't have clean water after rains worsened the existing infrastructure.,2022-09-04,neutral,0.9223976731300354,negative,0.9638369083404541,0,-1,-0.5
WORLD NEWS,pakistan's largest natural lake is rising to dangerous levels due to monsoon,"Authorities warn that more flooding is expected as Lake Manchar swells from unprecedented monsoon rains that have killed nearly 1,300 people.",2022-09-04,negative,0.9222778677940369,negative,0.9563863277435303,-1,-1,-1.0
U.S. NEWS,uvalde children grapple with trauma after school massacre,"Students who survived the May 24 shooting at Robb Elementary in Texas are spending the summer with a host of mental health issues, including PTSD.",2022-09-04,negative,0.6994447708129883,negative,0.8642281293869019,-1,-1,-1.0
U.S. NEWS,emergency declared as flash flooding hits northwest georgia,"Thunderstorms and heavy rain pounded parts of northwest Georgia on Sunday, sparking flash flooding and dangerously high waters in some areas.",2022-09-04,negative,0.9369873404502869,negative,0.9504649639129639,-1,-1,-1.0
U.S. NEWS,plane that circled mississippi threatening to crash has landed,"A pilot has been arrested after circling a small airplane over Tupelo, Mississippi, while threatening to crash into a Walmart store.",2022-09-03,negative,0.8695032000541687,negative,0.894824206829071,-1,-1,-1.0
SCIENCE,fuel leak ruins nasa's 2nd shot at launching new moon rocket,"Part of the space agency's Artemis program, the rocket is the most powerful to date.",2022-09-03,neutral,0.5655996799468994,neutral,0.8308683633804321,0,0,0.0
U.S. NEWS,9 migrants are found dead in rio grande: border patrol,"Tragic toll followed hazardous crossing by desperate dozens, said officials.",2022-09-03,negative,0.9041013121604919,negative,0.866161584854126,-1,-1,-1.0
U.S. NEWS,owner of new england frozen yogurt shops accused of hiding camera in store bathroom,Nashua police charged Chanphanou (Sab) Pou with three misdemeanor counts of violation of privacy. He could face up to one year in jail for each charge.,2022-09-02,negative,0.7567503452301025,negative,0.8587252497673035,-1,-1,-1.0
POLITICS,former white house counsel pat cipollone to testify before grand jury: reports,Cipollone's former deputy Patrick Philbin is also reportedly scheduled to provide testimony to the grand jury on Friday.,2022-09-02,neutral,0.8958296775817871,neutral,0.8471412658691406,0,0,0.0
U.S. NEWS,"tropical storm danielle strengthens into hurricane, no current threat to land",The storm — the first hurricane of an unusually quiet storm season — is centered about 885 miles west of the Azores.,2022-09-02,positive,0.4487873315811157,negative,0.5998164415359497,1,-1,0.0
WORLD NEWS,putin plans to snub gorbachev's funeral,"The low-key funeral reflects the Kremlin’s uneasiness about the legacy of Gorbachev, who is despised by many at home for the collapse of the Soviet Union.",2022-09-02,neutral,0.6559271216392517,negative,0.8786056041717529,0,-1,-0.5
U.S. NEWS,nasa aims for saturday launch of new moon rocket after fixing fuel leaks,The inaugural flight of the 322-foot Artemis I rocket — the most powerful ever built by NASA — was delayed late in the countdown Monday.,2022-09-02,neutral,0.8750948905944824,negative,0.7388883233070374,0,-1,-0.5
U.S. NEWS,"u.s. hiring slowed in august as employers add 315,000 jobs","The unemployment rate rose to 3.7%, from a half-century low of 3.5% in July, as more Americans came off the sidelines to look for jobs.",2022-09-02,negative,0.96869295835495,positive,0.939706027507782,-1,1,0.0
U.S. NEWS,pregnant woman who claimed unborn baby was hov lane passenger receives another ticket,"Brandy Bottone had referred to Roe v. Wade and Texas' penal code, which identifies an unborn child as an individual, when she was first stopped for using the lane.",2022-09-01,neutral,0.6719141006469727,negative,0.49364015460014343,0,-1,-0.5
U.S. NEWS,missing louisiana nun found 'alive and safe' months after armed home raid,The nun was held by kidnappers for nearly five months following an armed raid of her Burkina Faso home.,2022-09-01,negative,0.47424623370170593,negative,0.7572889924049377,-1,-1,-1.0
U.S. NEWS,"a ku klux klan plaque is mounted at west point's science center, commission finds",The plaque shows a hooded man holding a weapon.,2022-09-01,neutral,0.9002379179000854,neutral,0.8913658261299133,0,0,0.0
POLITICS,rep. jim jordan's judiciary twitter account finds 'threat' in pic of docs at trump home,The 36-page filing described how Trump and his representatives did not hand over classified materials at the property.,2022-08-31,negative,0.8413872122764587,neutral,0.5537793040275574,-1,0,-0.5
POLITICS,mikhail gorbachev's 1998 pizza hut ad resurfaces after his death,The Soviet Union's last leader reportedly earned nearly $1 million even though he refused to eat the pizza on camera.,2022-08-31,neutral,0.8726078867912292,neutral,0.7646297812461853,0,0,0.0
POLITICS,republicans ignore trump's hoarding of classified documents,"The GOP is continuing to contort itself in defense of Donald Trump, despite new information relating to classified documents held at his Florida estate.",2022-08-31,negative,0.5241921544075012,negative,0.8917205929756165,-1,-1,-1.0
POLITICS,‘fox & friends’ host questions why trump kept classified documents at mar-a-lago,"""These are the biggest secrets in the world,"" Steve Doocy said in response to the ex-president keeping top secret documents at his private residence.",2022-08-31,neutral,0.8707360029220581,neutral,0.6346343159675598,0,0,0.0
U.S. NEWS,3 more r. kelly accusers testify about his abuse in chicago trial,"Prosecutors rested their case against the singer, who stands accused of producing child sexual abuse videos in his latest trial.",2022-08-31,neutral,0.5724073052406311,negative,0.7434077262878418,0,-1,-0.5
POLITICS,stocks dive for truth social spac amid merger delay,It's one thing after another for Donald Trump's problem-plagued Truth Social.,2022-08-30,negative,0.7905347943305969,neutral,0.844192624092102,-1,0,-0.5
SCIENCE,'safety is always first': nasa reschedules artemis moon mission to saturday,"“We’re going to play all nine innings here,” the Artemis mission manager said after the first launch was scrubbed.",2022-08-30,neutral,0.8672651052474976,neutral,0.7461893558502197,0,0,0.0
POLITICS,secret service official and ex-trump aide tony ornato retires amid jan. 6 probe,"Ornato, who at one point served as a White House political adviser, is said to have witnessed Trump lunge at a Secret Service agent during the Capitol attack.",2022-08-30,negative,0.6124201416969299,neutral,0.48895734548568726,-1,0,-0.5
POLITICS,house members are using a controversial tool to keep campaigning. has it gone too far?,House members are only supposed to use proxy voting when they cannot be present due to COVID-19. But that's not stopping representatives from voting remotely on the campaign trail.,2022-08-29,negative,0.8562883138656616,neutral,0.7624078989028931,-1,0,-0.5
POLITICS,lindsey graham warns of 'riots in streets' if trump is charged over classified docs,"“Most Republicans, including me, believe when it comes to Trump, there is no law,"" Graham said on Fox News. ""It's all about getting him.""",2022-08-29,negative,0.9238361716270447,neutral,0.866787850856781,-1,0,-0.5
WORLD NEWS,"pakistan flooding deaths pass 1,000 in 'climate catastrophe'","Pakistani authorities reported the casualties since the monsoon season began earlier than normal this year, destroying nearly 300,000 homes.",2022-08-28,negative,0.9529355764389038,negative,0.92623370885849,-1,-1,-1.0
U.S. NEWS,a nebraska man conducted an active shooter drill. employees had no idea.,A man hired to organize what looked like a mass shooting has been charged with multiple terrorism counts.,2022-08-28,neutral,0.7294868230819702,negative,0.77684086561203,0,-1,-0.5
POLITICS,kash patel says his life's in danger because he's in fbi affidavit,"In a message posted on Truth Social, Patel called it a “vicious attack from DOJ/FBI.""",2022-08-28,neutral,0.6846779584884644,negative,0.7595506310462952,0,-1,-0.5
POLITICS,fbi probing russian-speaking fake heiress who infiltrated mar-a-lago: report,The startling case underscores the security challenges of Donald Trump’s resort even as the former president stashed top-secret U.S. government files there.,2022-08-28,neutral,0.701022744178772,neutral,0.6389824748039246,0,0,0.0
POLITICS,don jr. posts 'dick pic' of dad after affidavit release: 'redact this!',"""Hang in there, Mr. President,"" goofs one die-hard fan.",2022-08-27,neutral,0.7093371152877808,positive,0.737424373626709,0,1,0.5
POLITICS,trump attorneys file do-over motion regarding mar-a-lago search,The former president's legal team followed a judge's order to polish a filing about the FBI seizure of government documents from his estate.,2022-08-27,negative,0.8376320004463196,negative,0.6852409839630127,-1,-1,-1.0
WORLD NEWS,"6 missing college students in mexico were held in warehouse, killed by army","Six of 43 students kidnapped in 2014 were kept alive for days before being handed over to a local army commander who ordered them to be killed, according to a new report.",2022-08-27,negative,0.8943635821342468,negative,0.8265297412872314,-1,-1,-1.0
POLITICS,jared kushner blasts 'nasty troll' chrissy teigen for attacks on ivanka,Who's nasty??,2022-08-27,negative,0.9046224355697632,neutral,0.5656158328056335,-1,0,-0.5
POLITICS,mar-a-lago search affidavit: trump was insecurely storing most sensitive intel at club,The heavily redacted document lays out the justification the Department of Justice provided to a judge for permission to search for and seize highly classified documents in an FBI raid of Trump's Florida home.,2022-08-26,neutral,0.8229526877403259,neutral,0.9004769325256348,0,0,0.0
POLITICS,"donald trump's truth social reportedly faces major money, trademark woes","A major vendor claims it was stiffed by Trump's social media operation, suggesting finances are in ""significant disarray,"" reported Fox Business.",2022-08-26,negative,0.9357295632362366,negative,0.9672189950942993,-1,-1,-1.0
WORLD NEWS,"6 months into war, russian goods still flowing to u.s.",American companies — including federal contractors — continue to buy everything from birch wood flooring to weapons-grade titanium from Russian corporations.,2022-08-25,neutral,0.4665375351905823,neutral,0.7702875137329102,0,0,0.0
POLITICS,judge temporarily blocks north dakota trigger law banning abortion,"The ban was set to take effect Friday, about two months after the Supreme Court overturned Roe v. Wade.",2022-08-25,negative,0.8361737728118896,neutral,0.57716965675354,-1,0,-0.5
BUSINESS,rei workers at berkeley store vote to unionize in another win for labor,They follow in the footsteps of REI workers in New York City who formed a union earlier this year.,2022-08-25,negative,0.582505464553833,neutral,0.8729999661445618,-1,0,-0.5
POLITICS,gov. brian kemp fights subpoena in georgia election probe,The judge is presiding over a special grand jury that’s investigating possible illegal attempts to influence the 2020 election in Georgia.,2022-08-25,negative,0.8436452150344849,neutral,0.5762253403663635,-1,0,-0.5
WORLD NEWS,japan’s national police chief to resign over shinzo abe assassination,National Police Agency Chief Itaru Nakamura's announcement came as his agency released a report on how it failed to protect Abe's life on July 8.,2022-08-25,negative,0.827475905418396,negative,0.6962996125221252,-1,-1,-1.0
U.S. NEWS,"uvalde victims' families, survivors plan multi-billion dollar lawsuit",The lawsuit looks to name law enforcement agencies and the shop where the accused shooter bought the gun used in the Uvalde shooting.,2022-08-24,neutral,0.8089324235916138,neutral,0.8596303462982178,0,0,0.0
POLITICS,"dan goldman, narrowly leading in new york democratic primary, declares victory","But the congressional race has not been officially called, and rival Yuh-Line Niou declined to concede.",2022-08-24,neutral,0.7626891732215881,negative,0.4992944896221161,0,-1,-0.5
POLITICS,markwayne mullin wins oklahoma republican primary to succeed gop sen. jim inhofe,The five-term House member is known as a staunch President Biden critic and loyal Donald Trump supporter.,2022-08-24,neutral,0.7702147960662842,neutral,0.7877568006515503,0,0,0.0
POLITICS,charlie crist wins chance to take on florida gov. ron desantis and his $132 million,Crist is making his second run for governor as a Democrat after having served one term in the job as a Republican more than a decade ago.,2022-08-24,neutral,0.49191322922706604,neutral,0.8030070066452026,0,0,0.0
POLITICS,irs launches safety review amid threats to workers linked to conspiracy theories,The Internal Revenue Service says it is conducting a comprehensive review of safety at its facilities.,2022-08-24,negative,0.9105346202850342,neutral,0.8784887194633484,-1,0,-0.5
POLITICS,student loan borrowers await biden plan on debt forgiveness,"If Biden's plan survives legal challenges that are almost certain to come, it could offer a windfall to a swath of the nation in the run-up to this fall's midterm elections.",2022-08-24,neutral,0.8781096935272217,negative,0.8478838801383972,0,-1,-0.5
U.S. NEWS,former louisville cop pleads guilty in breonna taylor case,A former Louisville police detective who helped falsify the warrant that led to the deadly police raid at Taylor’s apartment has pleaded guilty to a federal charge.,2022-08-23,negative,0.4982822835445404,negative,0.5655070543289185,-1,-1,-1.0
